vl_cnpj;optante_simples;optante_simei
2,76604E+12;FALSE;FALSE
2,77646E+12;FALSE;FALSE
2,77702E+12;TRUE;FALSE
2,77702E+12;FALSE;FALSE
2,79436E+12;FALSE;FALSE
2,79678E+12;FALSE;FALSE
2,7996E+12;TRUE;FALSE
2,80003E+12;FALSE;FALSE
2,80895E+12;TRUE;FALSE
2,81592E+12;FALSE;FALSE
2,83202E+12;TRUE;FALSE
2,83255E+12;TRUE;TRUE
2,83387E+12;FALSE;FALSE
2,8455E+12;TRUE;TRUE
2,84606E+12;FALSE;FALSE
2,84768E+12;FALSE;FALSE
2,85268E+12;FALSE;FALSE
2,85909E+12;TRUE;FALSE
2,86069E+12;FALSE;FALSE
2,91627E+12;FALSE;FALSE
2,92031E+12;TRUE;FALSE
2,93207E+12;FALSE;FALSE
2,94089E+12;TRUE;FALSE
2,95081E+12;FALSE;FALSE
2,95116E+12;FALSE;FALSE
2,95732E+12;TRUE;FALSE
2,961E+12;FALSE;FALSE
2,96264E+12;FALSE;FALSE
2,96279E+12;FALSE;FALSE
2,96547E+12;FALSE;FALSE
2,98143E+12;FALSE;FALSE
2,98253E+12;FALSE;FALSE
2,9826E+12;TRUE;FALSE
2,99245E+12;FALSE;FALSE
2,9983E+12;FALSE;FALSE
2,99861E+12;FALSE;FALSE
3,01455E+12;FALSE;FALSE
3,02259E+12;FALSE;FALSE
3,03111E+12;FALSE;FALSE
3,04543E+12;FALSE;FALSE
3,07111E+12;TRUE;FALSE
3,07303E+12;FALSE;FALSE
3,07425E+12;TRUE;FALSE
3,07688E+12;TRUE;FALSE
3,09398E+12;TRUE;FALSE
3,11383E+12;FALSE;FALSE
3,12994E+12;TRUE;FALSE
3,13278E+12;FALSE;FALSE
3,13457E+12;FALSE;FALSE
3,14115E+12;FALSE;FALSE
3,15081E+12;TRUE;TRUE
3,153E+12;FALSE;FALSE
3,15988E+12;FALSE;FALSE
3,16327E+12;FALSE;FALSE
3,16671E+12;null;null
3,17202E+12;TRUE;FALSE
3,17852E+12;FALSE;FALSE
3,18556E+12;FALSE;FALSE
3,18653E+12;FALSE;FALSE
3,18779E+12;TRUE;FALSE
3,21484E+12;FALSE;FALSE
3,22044E+12;FALSE;FALSE
3,22828E+12;FALSE;FALSE
3,22838E+12;FALSE;FALSE
3,23494E+12;TRUE;FALSE
3,24388E+12;TRUE;FALSE
3,24447E+12;FALSE;FALSE
3,2513E+12;TRUE;FALSE
3,26144E+12;TRUE;FALSE
3,2617E+12;TRUE;FALSE
3,28518E+12;FALSE;FALSE
3,28629E+12;null;null
3,28989E+12;FALSE;FALSE
3,29133E+12;TRUE;FALSE
3,29396E+12;FALSE;FALSE
3,29738E+12;FALSE;FALSE
3,30193E+12;null;null
3,304E+12;FALSE;FALSE
3,30503E+12;FALSE;FALSE
3,31229E+12;FALSE;FALSE
3,32996E+12;TRUE;FALSE
3,33241E+12;FALSE;FALSE
3,33507E+12;TRUE;FALSE
3,33907E+12;FALSE;FALSE
3,3427E+12;FALSE;FALSE
3,3549E+12;TRUE;FALSE
3,36192E+12;FALSE;FALSE
3,37852E+12;FALSE;FALSE
3,3789E+12;TRUE;FALSE
3,38416E+12;TRUE;FALSE
3,38452E+12;TRUE;FALSE
3,38838E+12;FALSE;FALSE
3,38886E+12;TRUE;FALSE
3,39216E+12;FALSE;FALSE
3,39802E+12;TRUE;FALSE
3,41411E+12;FALSE;FALSE
3,43178E+12;TRUE;FALSE
3,44194E+12;FALSE;FALSE
3,45635E+12;TRUE;FALSE
3,45649E+12;FALSE;FALSE
3,46203E+12;TRUE;FALSE
3,46503E+12;FALSE;FALSE
3,46732E+12;FALSE;FALSE
3,47681E+12;FALSE;FALSE
3,48351E+12;TRUE;FALSE
3,48532E+12;FALSE;FALSE
3,49636E+12;FALSE;FALSE
3,49881E+12;FALSE;FALSE
3,50157E+12;FALSE;FALSE
3,51229E+12;FALSE;FALSE
3,54851E+12;FALSE;FALSE
3,57442E+12;TRUE;FALSE
3,59653E+12;FALSE;FALSE
3,60327E+12;TRUE;FALSE
3,60824E+12;TRUE;FALSE
3,61244E+12;FALSE;FALSE
3,61334E+12;TRUE;FALSE
3,61478E+12;FALSE;FALSE
3,6211E+12;TRUE;FALSE
3,62497E+12;null;null
3,63485E+12;FALSE;FALSE
3,64386E+12;FALSE;FALSE
3,64422E+12;FALSE;FALSE
3,64624E+12;TRUE;FALSE
3,65203E+12;FALSE;FALSE
3,65582E+12;FALSE;FALSE
3,67312E+12;FALSE;FALSE
3,68867E+12;TRUE;FALSE
3,69254E+12;TRUE;FALSE
3,69494E+12;FALSE;FALSE
3,70157E+12;TRUE;FALSE
3,70377E+12;FALSE;FALSE
3,70434E+12;FALSE;FALSE
3,71082E+12;FALSE;FALSE
3,71976E+12;TRUE;FALSE
3,75222E+12;TRUE;FALSE
3,75832E+12;FALSE;FALSE
3,76141E+12;TRUE;FALSE
3,76295E+12;FALSE;FALSE
3,78239E+12;FALSE;FALSE
3,78468E+12;FALSE;FALSE
3,78554E+12;FALSE;FALSE
3,7991E+12;TRUE;FALSE
3,80212E+12;FALSE;FALSE
3,80638E+12;FALSE;FALSE
3,81444E+12;TRUE;FALSE
3,82348E+12;null;null
3,82624E+12;FALSE;FALSE
3,8429E+12;FALSE;FALSE
3,84746E+12;FALSE;FALSE
3,8539E+12;FALSE;FALSE
3,86206E+12;TRUE;FALSE
3,86259E+12;FALSE;FALSE
