cnpj;dt_abertura;matriz.empresaMatriz;cd_cnae_principal;de_cnae_principal;de_ramo_atividade;de_setor;endereco_cep;endereco_municipio;endereco_uf;endereco_regiao;endereco_mesorregiao;situacao_cadastral
3,35776E+13;2019-05-09;true;4520007;SERVICOS DE INSTALACAO MANUTENCAO E REPARACAO DE ACESSORIOS PARA VEICULOS AUTOMOTORES;VAREJO;COMERCIO;12929420;BRAGANCA PAULISTA;SP;SUDESTE;MACRO METROPOLITANA PAULISTA;ATIVA
2,78985E+13;1982-03-29;true;4615000;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE ELETRODOMESTICOS MOVEIS E ARTIGOS DE USO DOMESTICO;ATACADO;COMERCIO;20020050;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA
6,87738E+13;1993-02-11;true;8630503;ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS;SERVICOS DE SAUDE;SERVICOS;20040009;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA
2,64156E+13;2016-10-25;true;4399103;OBRAS DE ALVENARIA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;13871117;SAO JOAO DA BOA VISTA;SP;SUDESTE;CAMPINAS;ATIVA
3,32075E+13;2019-04-01;true;5620104;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;14500000;ITUVERAVA;SP;SUDESTE;RIBEIRAO PRETO;ATIVA
7,4607E+12;2005-06-27;true;8599699;OUTRAS ATIVIDADES DE ENSINO NAO ESPECIFICADAS ANTERIORMENTE;SERVICOS DE EDUCACAO;SERVICOS;76494980;AMARALINA;GO;CENTRO-OESTE;NORTE GOIANO;ATIVA
4,82481E+13;2022-10-10;true;4789002;COMERCIO VAREJISTA DE PLANTAS E FLORES NATURAIS;VAREJO;COMERCIO;11900000;REGISTRO;SP;SUDESTE;LITORAL SUL PAULISTA;ATIVA
1,7367E+13;2013-01-08;true;4641901;COMERCIO ATACADISTA DE TECIDOS;ATACADO;COMERCIO;93310380;NOVO HAMBURGO;RS;SUL;METROPOLITANA DE PORTO ALEGRE;ATIVA
3,75217E+13;2020-06-24;true;9602501;CABELEIREIROS MANICURE E PEDICURE;SERVICOS DIVERSOS;SERVICOS;31320240;BELO HORIZONTE;MG;SUDESTE;METROPOLITANA DE BELO HORIZONTE;ATIVA
2,05463E+13;2014-05-29;true;8112500;CONDOMINIOS PREDIAIS;SERVICOS ADMINISTRATIVOS;SERVICOS;95042708;CAXIAS DO SUL;RS;SUL;NORDESTE RIO GRANDENSE;ATIVA
6,47103E+13;2018-01-19;false;4930202;TRANSPORTE RODOVIARIO DE CARGA EXCETO PRODUTOS PERIGOSOS E MUDANCAS INTERMUNICIPAL INTERESTADUAL E INTERNACIONAL;TRANSPORTE;SERVICOS;29913010;LINHARES;ES;SUDESTE;LITORAL NORTE ESPIRITO SANTENSE;ATIVA
3,51458E+13;2019-10-10;true;7721700;ALUGUEL DE EQUIPAMENTOS RECREATIVOS E ESPORTIVOS;SERVICOS ADMINISTRATIVOS;SERVICOS;11454210;GUARUJA;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
4,13879E+13;2021-03-29;true;4330404;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;98270000;PEJUCARA;RS;SUL;NOROESTE RIO GRANDENSE;ATIVA
1,66928E+13;2012-08-14;true;6190699;OUTRAS ATIVIDADES DE TELECOMUNICACOES NAO ESPECIFICADAS ANTERIORMENTE;TELECOM;SERVICOS;22470050;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA
2,20509E+13;1987-08-17;true;8112500;CONDOMINIOS PREDIAIS;SERVICOS ADMINISTRATIVOS;SERVICOS;36900055;MANHUACU;MG;SUDESTE;ZONA DA MATA;ATIVA
2,37802E+13;2015-12-02;true;4399103;OBRAS DE ALVENARIA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;23821820;ITAGUAI;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA
2,86176E+13;2017-09-12;true;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;35138000;ALPERCATA;MG;SUDESTE;VALE DO RIO DOCE;ATIVA
9,14345E+12;2007-08-28;true;5611204;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS SEM ENTRETENIMENTO;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;37553439;POUSO ALEGRE;MG;SUDESTE;SUL SUDOESTE DE MINAS;ATIVA
2,01734E+13;2014-05-02;true;4399103;OBRAS DE ALVENARIA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;35740000;ESMERALDAS;MG;SUDESTE;METROPOLITANA DE BELO HORIZONTE;ATIVA
3,80632E+13;2020-08-12;true;3314711;MANUTENCAO E REPARACAO DE MAQUINAS E EQUIPAMENTOS PARA AGRICULTURA E PECUARIA;SERVICOS DIVERSOS;SERVICOS;29927000;SOORETAMA;ES;SUDESTE;LITORAL NORTE ESPIRITO SANTENSE;ATIVA
4,15977E+13;2021-04-16;true;4520005;SERVICOS DE LAVAGEM LUBRIFICACAO E POLIMENTO DE VEICULOS AUTOMOTORES;VAREJO;COMERCIO;95050680;CAXIAS DO SUL;RS;SUL;NORDESTE RIO GRANDENSE;ATIVA
7,38899E+12;2005-05-02;true;4761002;COMERCIO VAREJISTA DE JORNAIS E REVISTAS;VAREJO;COMERCIO;9960500;DIADEMA;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
3,29705E+13;2019-03-08;true;4772500;COMERCIO VAREJISTA DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;VAREJO;COMERCIO;49095603;ARACAJU;SE;NORDESTE;LESTE SERGIPANO;ATIVA
3,27338E+13;2019-02-12;true;5611201;RESTAURANTES E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;79180000;RIBAS DO RIO PARDO;MS;CENTRO-OESTE;LESTE DE MATO GROSSO DO SUL;ATIVA
8,89353E+12;2007-06-06;true;4930201;TRANSPORTE RODOVIARIO DE CARGA EXCETO PRODUTOS PERIGOSOS E MUDANCAS MUNICIPAL;TRANSPORTE;SERVICOS;5546160;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
1,46052E+13;2011-11-11;true;9313100;ATIVIDADES DE CONDICIONAMENTO FISICO;SERVICOS DIVERSOS;SERVICOS;79825010;DOURADOS;MS;CENTRO-OESTE;SUDOESTE DE MATO GROSSO DO SUL;ATIVA
3,71913E+13;1992-03-23;true;9603304;SERVICOS DE FUNERARIAS;SERVICOS DIVERSOS;SERVICOS;79570000;APARECIDA DO TABOADO;MS;CENTRO-OESTE;LESTE DE MATO GROSSO DO SUL;ATIVA
3,07083E+13;2018-06-14;true;9602501;CABELEIREIROS MANICURE E PEDICURE;SERVICOS DIVERSOS;SERVICOS;54330240;JABOATAO DOS GUARARAPES;PE;NORDESTE;METROPOLITANA DE RECIFE;ATIVA
5,11026E+13;1984-12-06;true;161099;ATIVIDADES DE APOIO A AGRICULTURA NAO ESPECIFICADAS ANTERIORMENTE;PRODUTOS DE AGROPECUARIA;AGROPECUARIA;16300001;PENAPOLIS;SP;SUDESTE;ARACATUBA;ATIVA
