vl_cnpj;nivel_atividade;empresa_porte;saude_tributaria
2,81276E+13;ALTO;GRANDE;VERDE
2,81957E+13;ALTO;GRANDE;CINZA
4,22785E+13;ALTO;GRANDE;CINZA
4,48355E+13;ALTO;MICRO;Não Cadastrado
4,52444E+13;MEDIO;MEI;Não Cadastrado
4,54498E+13;BAIXO;MICRO;Não Cadastrado
4,56644E+13;Não Cadastrado;MEI;Não Cadastrado
4,58179E+13;Não Cadastrado;MEI;Não Cadastrado
4,59872E+13;ALTO;GRANDE;AMARELA
4,737E+13;Não Cadastrado;MEI;Não Cadastrado
4,75084E+13;ALTO;GRANDE;AMARELA
4,7961E+13;ALTO;GRANDE;AMARELA
5,05641E+13;ALTO;GRANDE;VERMELHO
5,92854E+13;ALTO;GRANDE;VERMELHO
6,08725E+13;ALTO;GRANDE;AMARELA
6,15859E+13;ALTO;GRANDE;VERDE
6,70107E+13;ALTO;GRANDE;VERDE
8,12437E+13;ALTO;GRANDE;AMARELA
8,34759E+13;ALTO;GRANDE;CINZA
8,46834E+13;ALTO;GRANDE;AMARELA
8,86102E+13;ALTO;GRANDE;CINZA
9,19831E+13;ALTO;GRANDE;VERDE
9,3829E+13;ALTO;GRANDE;CINZA
3,59742E+11;ALTO;GRANDE;CINZA
9,38574E+11;ALTO;GRANDE;AMARELA
1,89678E+12;ALTO;GRANDE;AMARELA
2,36507E+12;ALTO;GRANDE;VERDE
2,63552E+12;ALTO;GRANDE;CINZA
3,22044E+12;ALTO;GRANDE;VERDE
4,82104E+12;ALTO;GRANDE;AMARELA
7,59498E+12;ALTO;GRANDE;AMARELA
7,81689E+12;ALTO;GRANDE;VERMELHO
7,82091E+12;ALTO;GRANDE;CINZA
8,06556E+12;ALTO;GRANDE;VERDE
8,80162E+12;ALTO;GRANDE;CINZA
1,0216E+13;ALTO;GRANDE;AMARELA
1,2182E+13;MEDIO;GRANDE;AMARELA
1,32705E+13;MEDIO;GRANDE;CINZA
1,35746E+13;ALTO;GRANDE;CINZA
1,51396E+13;ALTO;GRANDE;VERDE
1,64043E+13;ALTO;GRANDE;AMARELA
1,71674E+13;ALTO;GRANDE;VERMELHO
2,12401E+13;BAIXO;GRANDE;CINZA
2,12556E+13;ALTO;GRANDE;CINZA
2,97801E+13;ALTO;GRANDE;VERMELHO
2,99501E+13;ALTO;GRANDE;VERDE
2,99788E+13;ALTO;GRANDE;CINZA
3,32564E+13;ALTO;GRANDE;VERMELHO
3,36115E+13;ALTO;GRANDE;VERMELHO
3,39587E+13;ALTO;GRANDE;VERMELHO
3,41696E+13;ALTO;GRANDE;AMARELA
3,81815E+13;ALTO;MICRO;Não Cadastrado
4,17225E+13;MEDIO;MEI;Não Cadastrado
4,22522E+13;ALTO;MEI;Não Cadastrado
4,22783E+13;ALTO;GRANDE;AMARELA
4,52857E+13;BAIXO;MEI;Não Cadastrado
4,5798E+13;Não Cadastrado;MEI;Não Cadastrado
5,14669E+13;ALTO;GRANDE;VERMELHO
5,25484E+13;ALTO;GRANDE;AMARELA
5,97895E+13;ALTO;GRANDE;CINZA
6,07469E+13;ALTO;GRANDE;CINZA
6,08947E+13;ALTO;GRANDE;VERDE
8,2637E+13;ALTO;GRANDE;VERMELHO
8,86101E+13;ALTO;GRANDE;VERDE
8,86118E+13;ALTO;GRANDE;VERMELHO
9,27021E+13;ALTO;GRANDE;CINZA
4,16968E+11;ALTO;GRANDE;AMARELA
1,02706E+12;ALTO;GRANDE;AMARELA
1,41722E+12;ALTO;GRANDE;AMARELA
2,16262E+12;ALTO;GRANDE;CINZA
2,19375E+12;ALTO;GRANDE;VERDE
2,35114E+12;ALTO;GRANDE;VERMELHO
2,42142E+12;ALTO;GRANDE;VERDE
2,55816E+12;ALTO;GRANDE;AMARELA
3,98343E+12;ALTO;GRANDE;VERDE
5,79931E+12;ALTO;GRANDE;VERDE
7,20682E+12;ALTO;GRANDE;VERDE
7,41533E+12;MEDIO;GRANDE;VERDE
7,43702E+12;ALTO;MEDIA;VERDE
7,689E+12;ALTO;GRANDE;VERMELHO
7,88293E+12;MEDIO;GRANDE;VERDE
8,36495E+12;ALTO;GRANDE;VERDE
9,3466E+12;ALTO;GRANDE;VERDE
1,17219E+13;ALTO;GRANDE;AMARELA
1,17252E+13;ALTO;GRANDE;VERDE
1,66701E+13;ALTO;GRANDE;VERDE
2,13146E+13;ALTO;GRANDE;AMARELA
2,49625E+13;ALTO;GRANDE;CINZA
3,31025E+13;ALTO;GRANDE;CINZA
3,34676E+13;ALTO;GRANDE;CINZA
3,81879E+13;MEDIO;MEI;Não Cadastrado
3,81913E+13;ALTO;MEI;Não Cadastrado
4,27719E+13;ALTO;GRANDE;CINZA
4,47997E+13;MEDIO;MEI;Não Cadastrado
4,52379E+13;MEDIO;MEI;Não Cadastrado
4,52698E+13;BAIXO;MEI;Não Cadastrado
4,53E+13;MEDIO;MEI;Não Cadastrado
4,53082E+13;MEDIO;MEI;Não Cadastrado
4,53519E+13;BAIXO;MICRO;Não Cadastrado
4,58257E+13;Não Cadastrado;MEI;Não Cadastrado
4,65485E+13;Não Cadastrado;MEI;Não Cadastrado
4,73688E+13;Não Cadastrado;MEDIA;Não Cadastrado
4,74089E+13;Não Cadastrado;MEI;Não Cadastrado
6,06372E+13;ALTO;GRANDE;CINZA
6,29841E+13;MEDIO;GRANDE;VERDE
8,02272E+13;ALTO;GRANDE;CINZA
8,25084E+13;ALTO;GRANDE;CINZA
1,0832E+12;ALTO;GRANDE;VERMELHO
2,21732E+12;ALTO;GRANDE;CINZA
2,80003E+12;ALTO;GRANDE;CINZA
2,95081E+12;ALTO;GRANDE;VERMELHO
2,99861E+12;ALTO;GRANDE;VERMELHO
3,47649E+12;MEDIO;MEI;CINZA
4,03121E+12;ALTO;GRANDE;CINZA
5,8784E+12;ALTO;GRANDE;VERMELHO
6,05722E+12;ALTO;GRANDE;VERMELHO
7,62853E+12;ALTO;GRANDE;CINZA
8,17085E+12;MEDIO;MEDIA;CINZA
8,40294E+12;ALTO;GRANDE;VERDE
9,34752E+12;BAIXO;GRANDE;VERDE
1,20496E+13;MEDIO;GRANDE;CINZA
1,21307E+13;ALTO;GRANDE;CINZA
1,51014E+13;ALTO;GRANDE;AMARELA
3,30355E+13;ALTO;GRANDE;VERMELHO
3,30406E+13;ALTO;GRANDE;VERMELHO
3,35925E+13;ALTO;GRANDE;VERDE
3,38399E+13;MEDIO;GRANDE;CINZA
